"","Date","Open","High","Low","Close","Volume"
"186","4-Jun-12","561.50","567.50","548.50",564.29,19892447
"187","1-Jun-12","569.16","572.65","560.52",560.99,18606442
"188","31-May-12","580.74","581.50","571.46",577.73,17568229
"189","30-May-12","569.20","579.99","566.56",579.17,18907887
"190","29-May-12","570.90","574.00","565.31",572.27,13589478
"191","25-May-12","564.59","565.85","558.47",562.29,11730936
"192","24-May-12","575.87","576.50","561.23",565.32,17721358
"193","23-May-12","557.50","572.80","553.23",570.56,20889195
"194","22-May-12","569.55","573.88","552.58",556.97,24813822
"195","21-May-12","534.50","561.54","534.05",561.28,22538970
"196","18-May-12","533.96","543.41","522.18",530.38,26153209
"197","17-May-12","545.31","547.50","530.12",530.12,25614959
"198","16-May-12","554.05","556.89","541.04",546.08,20031982
"199","15-May-12","561.45","563.22","551.75",553.17,17010954
"200","14-May-12","562.57","567.51","557.60",558.22,12593729
"201","11-May-12","565.00","574.47","564.35",566.71,14269476
"202","10-May-12","574.58","575.88","568.44",570.52,11902536
"203","9-May-12","563.70","573.98","560.85",569.18,17167989
"204","8-May-12","569.58","571.50","558.73",568.18,17758960
"205","7-May-12","561.50","572.77","561.23",569.48,16439031
"206","4-May-12","577.08","578.36","565.17",565.25,18928203
"207","3-May-12","590.50","591.40","580.30",581.82,13948151
"208","2-May-12","580.24","587.40","578.86",585.98,15272288
"209","1-May-12","584.90","596.76","581.23",582.13,21821359
"210","30-Apr-12","597.80","598.40","583.00",583.98,18076434
"211","27-Apr-12","605.07","606.18","600.50",603,14527500
"212","26-Apr-12","614.27","614.69","602.13",607.7,19145182
"213","25-Apr-12","615.64","618.00","606.00",610,32346810
"214","24-Apr-12","562.61","567.69","555.00",560.28,38442834
"215","23-Apr-12","570.61","576.67","556.62",571.7,34518497
"216","20-Apr-12","591.38","594.62","570.42",572.98,36820544
"217","19-Apr-12","600.22","604.73","584.52",587.44,29811195
"218","18-Apr-12","613.72","620.25","602.71",608.34,34090353
"219","17-Apr-12","578.94","610.00","571.91",609.7,36624496
"220","16-Apr-12","610.06","610.28","578.25",580.13,37528008
"221","13-Apr-12","624.11","624.70","603.51",605.23,30701581
"222","12-Apr-12","625.00","631.33","620.50",622.77,21940309
"223","11-Apr-12","636.20","636.87","623.34",626.2,24878967
"224","10-Apr-12","639.93","644.00","626.00",628.44,31774636
"225","9-Apr-12","626.13","639.84","625.30",636.23,21340578
"226","5-Apr-12","626.98","634.66","623.40",633.68,22902694
"227","4-Apr-12","624.35","625.86","617.00",624.31,20463585
"228","3-Apr-12","627.30","632.21","622.51",629.32,29805480
"229","2-Apr-12","601.83","618.77","600.38",618.63,21369494
"230","30-Mar-12","608.77","610.56","597.94",599.55,26108485
"231","29-Mar-12","612.78","616.56","607.23",609.86,21722776
"232","28-Mar-12","618.38","621.45","610.31",617.62,23409267
"233","27-Mar-12","606.18","616.28","606.06",614.48,21683163
"234","26-Mar-12","599.79","607.15","595.26",606.98,21276317
"235","23-Mar-12","600.49","601.80","594.40",596.05,15374545
"236","22-Mar-12","597.78","604.50","595.53",599.34,22290414
"237","21-Mar-12","602.74","609.65","601.41",602.5,23001482
"238","20-Mar-12","599.51","606.90","582.00",605.96,29166719
"239","19-Mar-12","598.37","601.77","589.05",601.1,32186970
"240","16-Mar-12","584.72","589.20","578.00",585.57,29481697
"241","15-Mar-12","599.61","600.01","578.55",585.56,41416824
"242","14-Mar-12","578.05","594.72","575.40",589.58,50672821
"243","13-Mar-12","557.54","568.18","555.75",568.1,24673237
"244","12-Mar-12","548.98","552.00","547.00",552,14545717
"245","9-Mar-12","544.21","547.74","543.11",545.17,14960676
"246","8-Mar-12","534.69","542.99","532.12",541.99,18444389
"247","7-Mar-12","536.80","537.78","523.30",530.69,28518507
"248","6-Mar-12","523.66","533.69","516.22",530.26,28937093
"249","5-Mar-12","545.42","547.48","526.00",533.16,28897169
"250","2-Mar-12","544.24","546.80","542.52",545.18,15418227
"251","1-Mar-12","548.17","548.21","538.77",544.47,24401884
"252","29-Feb-12","541.56","547.61","535.70",542.44,34000054
"253","28-Feb-12","527.96","535.41","525.85",535.41,21442354
"254","27-Feb-12","521.31","528.50","516.28",525.76,19556472
"255","24-Feb-12","519.67","522.90","518.64",522.41,14831415
"256","23-Feb-12","515.08","517.83","509.50",516.39,20286616
"257","22-Feb-12","513.08","515.49","509.07",513.04,17260544
"258","21-Feb-12","506.88","514.85","504.12",514.85,21628057
"259","17-Feb-12","503.11","507.77","500.30",502.12,19135313
"260","16-Feb-12","491.50","504.89","486.63",502.21,33733915
"261","15-Feb-12","514.26","526.29","496.89",497.67,53789720
"262","14-Feb-12","504.66","509.56","502.00",509.46,16497573
"263","13-Feb-12","499.53","503.83","497.09",502.6,18471658
"264","10-Feb-12","490.96","497.62","488.55",493.42,22546425
"265","9-Feb-12","480.76","496.75","480.56",493.17,31579086
"266","8-Feb-12","470.50","476.79","469.70",476.68,14567040
"267","7-Feb-12","465.25","469.75","464.58",468.83,11293609
"268","6-Feb-12","458.38","464.98","458.20",463.97,8917228
"269","3-Feb-12","457.30","460.00","455.56",459.68,10245287
"270","2-Feb-12","455.90","457.17","453.98",455.12,6671221
"271","1-Feb-12","458.41","458.99","455.55",456.19,9644366
"272","31-Jan-12","455.59","458.24","453.07",456.48,13996855
"273","30-Jan-12","445.71","453.90","445.39",453.01,13547439
"274","27-Jan-12","444.34","448.48","443.77",447.28,10710233
"275","26-Jan-12","448.36","448.79","443.14",444.63,11579673
"276","25-Jan-12","454.44","454.45","443.73",446.66,34223691
"277","24-Jan-12","425.10","425.10","419.55",420.41,19558473
"278","23-Jan-12","422.67","428.45","422.30",427.41,10930778
"279","20-Jan-12","427.49","427.50","419.75",420.3,14784607
