"","Date","Open","High","Low","Close","Volume"
"1921","3-Aug-05","298.00","299.72","295.60",297.3,5939351
"1920","4-Aug-05","295.55","299.00","295.25",297.73,5318709
"1919","5-Aug-05","297.50","298.51","291.31",292.35,5954926
"1918","8-Aug-05","293.60","295.65","290.49",291.25,4488996
"1917","9-Aug-05","291.96","292.68","288.51",291.57,5783987
"1916","10-Aug-05","291.30","292.33","284.88",285.68,7003074
"1915","11-Aug-05","285.89","286.58","280.62",284.05,7517646
"1914","12-Aug-05","283.36","290.20","281.64",289.72,6594985
"1913","15-Aug-05","289.80","292.77","283.77",284,8177102
"1912","16-Aug-05","284.88","287.79","283.34",285.65,7114089
"1911","17-Aug-05","285.51","286.57","284.00",285.1,3894753
"1910","18-Aug-05","275.91","280.50","275.00",279.99,11945084
"1909","19-Aug-05","280.99","281.45","279.62",280,5612914
"1908","22-Aug-05","281.24","281.47","273.35",274.01,6881151
"1907","23-Aug-05","276.16","279.74","274.12",279.58,5846664
"1906","24-Aug-05","277.57","284.75","276.45",282.57,8596213
"1905","25-Aug-05","282.55","284.00","279.97",282.59,4377971
"1904","26-Aug-05","283.48","285.02","282.66",283.58,3756000
"1903","29-Aug-05","282.24","289.12","282.24",288.45,5907365
"1902","30-Aug-05","287.39","289.51","285.88",287.27,4792410
"1901","31-Aug-05","288.23","288.50","284.36",286,5036499
"1900","1-Sep-05","285.91","287.50","285.00",286.25,2742784
"1899","2-Sep-05","286.51","289.99","286.44",288.45,3435233
"1898","6-Sep-05","289.00","289.39","286.80",287.11,4214975
"1897","7-Sep-05","285.89","295.50","285.28",294.87,7501491
"1896","8-Sep-05","294.83","299.28","293.36",295.39,6614790
"1895","9-Sep-05","297.28","299.10","296.56",299.09,4468241
"1894","12-Sep-05","301.75","311.42","301.00",309.74,10392015
"1893","13-Sep-05","309.00","315.53","306.17",311.68,10307401
"1892","14-Sep-05","308.73","313.28","300.30",303,11286140
"1891","15-Sep-05","299.52","306.75","297.91",302.62,15472402
"1890","16-Sep-05","304.02","304.50","299.87",300.2,7582013
"1889","19-Sep-05","301.00","306.00","300.71",303.79,5763979
"1888","20-Sep-05","306.15","311.30","305.23",307.91,9405622
"1887","21-Sep-05","308.41","313.76","305.96",311.9,10127489
"1886","22-Sep-05","311.50","319.22","310.17",311.37,13010352
"1885","23-Sep-05","313.00","317.21","312.59",315.36,8486213
"1884","26-Sep-05","319.50","320.95","312.56",314.28,9896294
"1883","27-Sep-05","314.95","318.41","313.38",313.94,6876755
"1882","28-Sep-05","314.22","315.10","305.60",306,8001283
"1881","29-Sep-05","306.68","310.72","306.08",309.62,5616217
"1880","30-Sep-05","314.22","317.50","312.29",316.46,9171299
"1879","3-Oct-05","313.63","320.11","312.79",318.68,9164380
"1878","4-Oct-05","319.95","321.28","310.74",311,9145274
"1877","5-Oct-05","312.69","314.90","308.00",310.71,8330347
"1876","6-Oct-05","314.14","314.48","310.09",312.75,8031100
"1875","7-Oct-05","314.79","316.67","310.54",312.99,6770813
"1874","10-Oct-05","313.31","314.82","309.15",310.65,5573750
"1873","11-Oct-05","310.61","312.65","304.86",306.1,8555741
"1872","12-Oct-05","305.20","307.19","299.00",300.97,9308530
"1871","13-Oct-05","302.00","302.00","290.68",297.44,10567915
"1870","14-Oct-05","299.90","300.23","292.54",296.14,8520588
"1869","17-Oct-05","297.50","305.20","294.56",305,7570244
"1868","18-Oct-05","304.96","307.96","302.74",303.28,7083351
"1867","19-Oct-05","304.00","309.87","303.96",308.7,7014755
"1866","20-Oct-05","309.99","311.13","301.21",303.2,14281852
"1865","21-Oct-05","345.80","346.43","333.00",339.9,22897490
"1864","24-Oct-05","343.37","349.30","342.19",348.65,9462011
"1863","25-Oct-05","345.78","347.40","342.86",346.91,6902192
"1862","26-Oct-05","346.28","356.00","346.19",355.44,9237425
"1861","27-Oct-05","356.60","357.09","351.68",353.06,5152474
"1860","28-Oct-05","355.27","358.95","355.02",358.17,5988235
"1859","31-Oct-05","360.24","374.75","359.51",372.14,14349800
"1858","1-Nov-05","371.86","383.90","369.01",379.38,16370713
"1857","2-Nov-05","381.70","385.00","377.17",379.68,10687615
"1856","3-Nov-05","382.41","386.58","381.38",385.95,7448384
"1855","4-Nov-05","389.98","391.79","385.45",390.43,8824846
"1854","7-Nov-05","395.10","397.47","392.15",395.03,9591457
"1853","8-Nov-05","394.25","395.59","388.58",389.9,7897478
"1852","9-Nov-05","386.67","388.29","378.03",379.15,10473628
"1851","10-Nov-05","378.36","391.35","377.43",391.1,9128653
"1850","11-Nov-05","395.12","396.90","388.85",390.4,7063895
"1849","14-Nov-05","392.12","398.22","391.53",396.97,7807857
"1848","15-Nov-05","394.38","397.00","390.95",392.8,8627392
"1847","16-Nov-05","396.20","398.85","394.11",398.15,8719016
"1846","17-Nov-05","401.80","403.81","399.53",403.45,9219270
"1845","18-Nov-05","403.49","404.50","399.85",400.21,7025691
"1844","21-Nov-05","399.17","409.98","393.49",409.36,10335092
"1843","22-Nov-05","408.65","417.31","406.23",416.47,9600241
"1842","23-Nov-05","417.04","424.72","415.78",422.86,10084913
"1841","25-Nov-05","425.78","428.75","425.30",428.62,4840017
"1840","28-Nov-05","429.82","431.24","422.44",423.48,11008320
"1839","29-Nov-05","424.46","426.40","402.14",403.54,21495925
"1838","30-Nov-05","404.26","408.45","395.56",404.91,15596530
"1837","1-Dec-05","409.20","415.44","408.29",414.09,9744804
"1836","2-Dec-05","416.94","419.53","413.86",417.7,7543423
"1835","5-Dec-05","417.00","417.50","404.28",405.85,10294635
"1834","6-Dec-05","408.70","416.41","401.70",404.54,15125295
"1833","7-Dec-05","406.16","406.70","399.01",404.22,11665835
"1832","8-Dec-05","405.30","410.65","402.64",410.65,8910050
"1831","9-Dec-05","415.00","415.78","408.56",409.2,7666076
"1830","12-Dec-05","414.63","415.21","409.95",412.61,6950693
"1829","13-Dec-05","412.50","418.00","411.64",417.49,8163779
"1828","14-Dec-05","417.04","419.73","415.49",418.96,6630334
"1827","15-Dec-05","419.11","423.14","416.50",422.53,6045839
"1826","16-Dec-05","425.34","432.50","422.75",430.15,16330482
"1825","19-Dec-05","432.20","446.21","420.11",424.6,21942641
"1824","20-Dec-05","427.86","432.20","424.67",429.74,10084650
"1823","21-Dec-05","433.55","436.86","420.71",426.33,11221892
"1822","22-Dec-05","431.76","432.86","425.93",432.04,7550670
"1821","23-Dec-05","432.15","432.50","428.78",430.93,4595093
"1820","27-Dec-05","431.86","431.86","422.76",424.64,6705231
"1819","28-Dec-05","424.34","427.78","421.26",426.69,7119624
"1818","29-Dec-05","427.98","428.73","419.17",420.15,6949966
"1817","30-Dec-05","417.27","418.21","413.74",414.86,7587928
"1816","3-Jan-06","422.52","435.67","418.22",435.23,13137450
"1815","4-Jan-06","443.90","448.96","439.75",445.24,15292353
"1814","5-Jan-06","446.00","451.55","441.50",451.24,10815661
"1813","6-Jan-06","456.87","470.50","453.24",465.66,17759521
"1812","9-Jan-06","466.41","473.40","460.94",466.9,12795837
"1811","10-Jan-06","464.42","470.25","462.04",469.76,9104719
"1810","11-Jan-06","471.27","475.11","469.18",471.63,9008664
"1809","12-Jan-06","473.72","474.99","461.50",463.63,10125212
"1808","13-Jan-06","464.31","466.89","461.61",466.25,7660220
"1807","17-Jan-06","463.06","469.90","462.53",467.11,8335300
"1806","18-Jan-06","447.30","457.36","443.25",444.91,20511176
"1805","19-Jan-06","451.17","453.49","433.00",436.44,14539830
"1804","20-Jan-06","438.70","440.03","394.74",399.46,41182889
"1803","23-Jan-06","407.38","428.39","405.73",427.5,22768073
"1802","24-Jan-06","436.03","444.95","434.48",443.03,15468453
"1801","25-Jan-06","451.26","454.23","429.22",433,18746567
"1800","26-Jan-06","439.54","439.99","423.56",434.26,12931382
"1799","27-Jan-06","435.00","438.22","428.98",433.49,8459747
"1798","30-Jan-06","429.23","433.28","425.00",426.82,8596167
"1797","31-Jan-06","430.57","439.60","423.97",432.66,22449604
"1796","1-Feb-06","389.03","402.00","387.52",401.78,27132792
"1795","2-Feb-06","403.82","406.50","395.98",396.04,11810931
"1794","3-Feb-06","393.62","393.90","372.57",381.56,18286547
"1793","6-Feb-06","385.31","389.90","379.56",385.1,8948485
"1792","7-Feb-06","382.99","383.70","363.34",367.92,16640139
"1791","8-Feb-06","368.48","370.69","354.67",369.08,20818364
"1790","9-Feb-06","371.20","374.40","356.11",358.77,11913420
"1789","10-Feb-06","361.95","364.50","353.14",362.61,15223458
"1788","13-Feb-06","346.64","350.60","341.89",345.7,19724806
"1787","14-Feb-06","345.33","351.69","342.40",343.32,14658822
"1786","15-Feb-06","341.27","346.00","337.83",342.38,12950205
"1785","16-Feb-06","345.67","367.00","344.49",366.46,21346655
"1784","17-Feb-06","369.86","372.14","363.62",368.75,14320187
"1783","21-Feb-06","366.44","373.54","365.11",366.59,8690747
"1782","22-Feb-06","367.15","368.95","363.86",365.49,6480739
"1781","23-Feb-06","365.61","381.24","365.39",378.07,12555816
"1780","24-Feb-06","377.30","380.07","373.49",377.4,6486245
"1779","27-Feb-06","381.27","391.70","380.28",390.38,10218579
"1778","28-Feb-06","393.20","397.54","338.51",362.62,39446833
"1777","1-Mar-06","368.56","369.45","361.30",364.8,12065342
"1776","2-Mar-06","364.28","381.10","362.20",376.45,18340198
"1775","3-Mar-06","384.30","387.24","375.76",378.18,11965401
"1774","6-Mar-06","380.91","383.40","367.14",368.1,8944987
"1773","7-Mar-06","365.02","368.45","358.15",364.45,10458838
"1772","8-Mar-06","353.94","360.03","350.54",353.88,11789648
"1771","9-Mar-06","355.39","358.53","341.50",343,13930023
"1770","10-Mar-06","343.50","344.50","331.55",337.5,19335603
"1769","13-Mar-06","340.93","346.10","335.45",337.06,13647636
"1768","14-Mar-06","337.14","352.37","332.62",351.16,18462895
"1767","15-Mar-06","350.77","352.30","340.53",344.5,12772794
"1766","16-Mar-06","348.61","348.75","337.90",338.77,10021478
"1765","17-Mar-06","338.80","341.78","334.93",339.79,8558663
"1764","20-Mar-06","342.34","350.09","341.54",348.19,10415814
"1763","21-Mar-06","350.01","351.66","339.08",339.92,9858099
"1762","22-Mar-06","339.75","344.10","337.50",340.22,7600389
"1761","23-Mar-06","342.35","345.75","340.20",341.89,7784834
"1760","24-Mar-06","368.62","370.09","362.51",365.8,15182162
"1759","27-Mar-06","367.09","371.71","365.00",369.69,7026402
"1758","28-Mar-06","371.71","377.86","371.17",377.2,8952532
"1757","29-Mar-06","379.94","399.00","379.51",394.98,19345086
"1756","30-Mar-06","389.19","393.50","383.61",388.44,14723626
"1755","31-Mar-06","388.74","391.87","384.03",390,36514857
"1754","3-Apr-06","389.53","392.47","387.93",389.7,8129930
"1753","4-Apr-06","389.90","404.90","388.14",404.34,15725137
"1752","5-Apr-06","408.20","414.57","402.82",407.99,13454976
"1751","6-Apr-06","406.49","413.89","405.43",411.18,8599983
"1750","7-Apr-06","412.41","412.85","404.02",406.16,7027980
"1749","10-Apr-06","407.08","417.17","405.25",416.38,9325308
"1748","11-Apr-06","416.42","419.10","406.22",409.66,11112419
"1747","12-Apr-06","409.00","411.33","405.19",408.95,6021169
"1746","13-Apr-06","408.63","409.76","400.50",402.16,6554861
"1745","17-Apr-06","403.45","412.50","400.84",406.82,8261422
"1744","18-Apr-06","407.93","409.83","401.50",404.24,8154780
"1743","19-Apr-06","412.57","413.64","406.73",410.5,6786151
"1742","20-Apr-06","411.01","416.00","408.20",415,12458412
"1741","21-Apr-06","448.90","450.72","436.17",437.1,22559250
"1740","24-Apr-06","439.40","444.70","436.52",440.5,8840100
"1739","25-Apr-06","439.63","441.04","426.00",427.16,9569567
"1738","26-Apr-06","427.74","430.04","423.53",425.97,7282287
"1737","27-Apr-06","422.91","426.91","419.39",420.03,8359256
"1736","28-Apr-06","418.62","425.73","416.30",417.94,7425666
"1735","1-May-06","418.47","419.44","398.55",398.9,10367637
"1734","2-May-06","401.08","402.49","388.40",394.8,13108333
"1733","3-May-06","396.35","401.50","390.88",394.17,8075850
"1732","4-May-06","395.03","398.87","392.21",394.75,4653255
"1731","5-May-06","397.60","400.68","391.78",394.3,6069528
"1730","8-May-06","395.11","397.12","390.05",394.78,5129461
"1729","9-May-06","395.70","409.00","393.75",408.8,9143664
"1728","10-May-06","408.31","411.71","401.86",402.98,6211308
"1727","11-May-06","403.42","404.71","384.98",387,8898884
"1726","12-May-06","383.54","384.87","373.55",374.13,10156524
"1725","15-May-06","375.93","380.15","368.25",376.2,8594484
"1724","16-May-06","375.99","376.86","369.89",371.3,5317198
"1723","17-May-06","370.61","379.84","370.22",374.5,10664908
"1722","18-May-06","378.78","381.81","370.71",370.99,5835892
"1721","19-May-06","373.28","374.50","360.57",370.02,11399560
"1720","22-May-06","367.85","373.03","365.25",370.95,8605568
"1719","23-May-06","374.21","383.88","373.56",375.58,8985421
"1718","24-May-06","377.35","383.44","371.61",381.25,9556510
"1717","25-May-06","379.08","383.00","372.31",382.99,8198046
"1716","26-May-06","384.55","385.88","380.03",381.35,3667717
"1715","30-May-06","378.28","381.00","371.45",371.94,4315930
"1714","31-May-06","373.80","378.25","366.78",371.82,7982732
"1713","1-Jun-06","373.54","382.99","371.60",382.62,6280223
"1712","2-Jun-06","385.46","387.08","377.45",379.44,6386442
"1711","5-Jun-06","376.18","381.45","374.15",374.44,5559992
"1710","6-Jun-06","376.58","390.00","376.30",389.99,10263036
"1709","7-Jun-06","393.24","394.86","386.50",386.51,8912579
"1708","8-Jun-06","387.75","394.27","378.59",393.3,10360552
